,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_FG3M,PULL_UP_FG3A,PULL_UP_FG3_PCT,PULL_UP_PTS,PULL_UP_EFG_PCT
17,2760,Anderson Varejao,1610612739,CLE,65,25,40,1800.0,11,28,0.393,0,2,0.0,22,0.393
18,101154,Andray Blatche,1610612751,BKN,72,39,33,1591.0,47,129,0.364,1,10,0.1,95,0.368
19,203083,Andre Drummond,1610612765,DET,81,29,52,2619.0,2,9,0.222,0,0,0.0,4,0.222
20,2738,Andre Iguodala,1610612744,GSW,63,41,22,2040.0,40,117,0.342,5,29,0.172,85,0.363
21,1889,Andre Miller,1610612764,WAS,57,32,25,968.0,22,59,0.373,1,4,0.25,45,0.381
22,203460,Andre Roberson,1610612760,OKC,40,30,10,399.0,0,3,0.0,0,0,0.0,0,0.0
23,200745,Andrea Bargnani,1610612752,NYK,42,15,27,1257.0,25,71,0.352,1,2,0.5,51,0.359
24,1905,Andrei Kirilenko,1610612751,BKN,44,29,15,836.0,2,5,0.4,0,0,0.0,4,0.4
25,101106,Andrew Bogut,1610612744,GSW,66,39,27,1746.0,5,8,0.625,0,0,0.0,10,0.625
26,101115,Andrew Bynum,1610612754,IND,26,11,15,516.0,6,22,0.273,0,0,0.0,12,0.273
27,203094,Andrew Nicholson,1610612753,ORL,76,19,57,1174.0,11,35,0.314,0,2,0.0,22,0.314
28,2740,Andris Biedrins,1610612762,UTA,6,0,6,45.0,0,0,0.0,0,0,0.0,0,0.0
29,1712,Antawn Jamison,1610612746,LAC,22,15,7,248.0,2,3,0.667,0,0,0.0,4,0.667
30,203461,Anthony Bennett,1610612739,CLE,52,20,32,663.0,7,24,0.292,1,5,0.2,15,0.313
31,203076,Anthony Davis,1610612740,NOP,67,29,38,2358.0,50,124,0.403,0,1,0.0,100,0.403
32,201627,Anthony Morrow,1610612740,NOP,76,32,44,1426.0,69,171,0.404,6,15,0.4,144,0.421
33,201576,Anthony Randolph,1610612743,DEN,43,15,28,527.0,3,29,0.103,0,7,0.0,6,0.103
34,201229,Anthony Tolliver,1610612766,CHA,63,32,31,1281.0,5,14,0.357,0,3,0.0,10,0.357
35,203462,Archie Goodwin,1610612756,PHX,52,32,20,533.0,2,15,0.133,0,8,0.0,4,0.133
36,202620,Arinze Onuaku,1610612739,CLE,5,2,3,30.0,0,0,0.0,0,0,0.0,0,0.0
37,203102,Arnett Moultrie,1610612755,PHI,12,0,12,187.0,0,3,0.0,0,0,0.0,0,0.0
38,203382,Aron Baynes,1610612759,SAS,53,41,12,491.0,2,8,0.25,0,0,0.0,4,0.25
39,201167,Arron Afflalo,1610612753,ORL,73,21,52,2552.0,156,360,0.433,19,45,0.422,331,0.46
40,201948,Austin Daye,1610612759,SAS,22,16,6,148.0,3,11,0.273,0,1,0.0,6,0.273
41,203085,Austin Rivers,1610612740,NOP,69,27,42,1339.0,24,94,0.255,3,25,0.12,51,0.271
42,202340,Avery Bradley,1610612738,BOS,60,19,41,1855.0,114,282,0.404,5,15,0.333,233,0.413
43,2732,Ben Gordon,1610612766,CHA,19,8,11,279.0,11,44,0.25,1,7,0.143,23,0.261
44,203463,Ben McLemore,1610612758,SAC,81,28,53,2169.0,41,124,0.331,11,46,0.239,93,0.375
45,2757,Beno Udrih,1610612763,MEM,41,18,23,643.0,31,84,0.369,2,6,0.333,64,0.381
46,203108,Bernard James,1610612742,DAL,30,17,13,146.0,0,0,0.0,0,0,0.0,0,0.0
47,202687,Bismack Biyombo,1610612766,CHA,76,41,35,1061.0,0,2,0.0,0,0,0.0,0,0.0
48,201933,Blake Griffin,1610612746,LAC,80,56,24,2863.0,41,121,0.339,2,8,0.25,84,0.347
49,2564,Boris Diaw,1610612759,SAS,79,60,19,1974.0,29,65,0.446,0,5,0.0,58,0.446
50,203078,Bradley Beal,1610612764,WAS,72,40,32,2494.0,196,523,0.375,13,43,0.302,405,0.387
51,201148,Brandan Wright,1610612742,DAL,58,36,22,1077.0,6,15,0.4,0,0,0.0,12,0.4
52,101138,Brandon Bass,1610612738,BOS,82,25,57,2266.0,55,122,0.451,2,4,0.5,112,0.459
53,203561,Brandon Davies,1610612755,PHI,51,15,36,575.0,4,8,0.5,0,0,0.0,8,0.5
54,201943,Brandon Jennings,1610612765,DET,80,28,52,2728.0,201,578,0.348,99,277,0.357,501,0.433
55,202688,Brandon Knight,1610612749,MIL,72,13,59,2400.0,162,448,0.362,52,163,0.319,376,0.42
56,201575,Brandon Rush,1610612762,UTA,38,13,25,418.0,10,34,0.294,3,9,0.333,23,0.338
57,203148,Brian Roberts,1610612740,NOP,72,28,44,1667.0,121,285,0.425,19,62,0.306,261,0.458
58,201572,Brook Lopez,1610612751,BKN,17,7,10,533.0,10,22,0.455,0,0,0.0,20,0.455
59,201957,Byron Mullens,1610612755,PHI,45,16,29,414.0,4,13,0.308,1,3,0.333,9,0.346
60,201228,C.J. Watson,1610612754,IND,63,48,15,1193.0,47,115,0.409,9,33,0.273,103,0.448
61,203468,CJ McCollum,1610612757,POR,38,21,17,476.0,24,72,0.333,5,22,0.227,53,0.368
62,101139,CJ Miles,1610612739,CLE,51,21,30,984.0,39,91,0.429,9,20,0.45,87,0.478
63,201171,Carl Landry,1610612758,SAC,18,5,13,233.0,1,5,0.2,0,0,0.0,2,0.2
64,2430,Carlos Boozer,1610612741,CHI,76,43,33,2141.0,39,145,0.269,0,0,0.0,78,0.269
65,2546,Carmelo Anthony,1610612752,NYK,77,35,42,2982.0,272,672,0.405,51,144,0.354,595,0.443
66,2406,Caron Butler,1610612760,OKC,55,21,34,1394.0,65,175,0.371,11,42,0.262,141,0.403
67,203467,Carrick Felix,1610612739,CLE,7,2,5,38.0,0,3,0.0,0,1,0.0,0,0.0
68,201858,Cartier Martin,1610612737,ATL,59,27,32,870.0,18,48,0.375,3,12,0.25,39,0.406
69,203810,Casper Ware,1610612755,PHI,9,3,6,116.0,3,17,0.176,2,10,0.2,8,0.235
70,202718,Chandler Parsons,1610612745,HOU,74,50,24,2783.0,53,146,0.363,10,45,0.222,116,0.397
71,101112,Channing Frye,1610612756,PHX,82,48,34,2312.0,28,65,0.431,1,9,0.111,57,0.438
72,101111,Charlie Villanueva,1610612765,DET,20,5,15,180.0,4,13,0.308,1,7,0.143,9,0.346
73,201978,Chase Budinger,1610612750,MIN,41,21,20,751.0,9,29,0.31,3,4,0.75,21,0.362
74,1497,Chauncey Billups,1610612765,DET,19,7,12,309.0,11,38,0.289,5,21,0.238,27,0.355
75,2365,Chris Andersen,1610612748,MIA,72,49,23,1396.0,1,2,0.5,0,1,0.0,2,0.5
76,203569,Chris Babb,1610612738,BOS,14,3,11,132.0,1,2,0.5,1,2,0.5,3,0.75
77,2547,Chris Bosh,1610612748,MIA,79,53,26,2531.0,46,112,0.411,3,9,0.333,95,0.424
78,203142,Chris Copeland,1610612754,IND,41,25,16,265.0,5,15,0.333,3,12,0.25,13,0.433
79,201604,Chris Douglas-Roberts,1610612766,CHA,48,26,22,994.0,9,34,0.265,3,10,0.3,21,0.309
80,203187,Chris Johnson,1610612738,BOS,40,11,29,789.0,7,21,0.333,2,5,0.4,16,0.381
81,2549,Chris Kaman,1610612747,LAL,39,13,26,736.0,21,45,0.467,0,0,0.0,42,0.467
82,101108,Chris Paul,1610612746,LAC,62,44,18,2171.0,226,521,0.434,43,129,0.333,495,0.475
83,202698,Chris Singleton,1610612764,WAS,25,13,12,250.0,6,16,0.375,0,0,0.0,12,0.375
84,203147,Chris Smith,1610612752,NYK,2,0,2,2.0,0,0,0.0,0,0,0.0,0,0.0
85,202874,Chris Wright,1610612749,MIL,8,1,7,126.0,0,0,0.0,0,0,0.0,0,0.0
86,101236,Chuck Hayes,1610612761,TOR,60,33,27,732.0,0,2,0.0,0,1,0.0,0,0.0
