,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,BOX_OUTS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB
106,201599,DeAndre Jordan,1610612746,LAC,27.0,77,2598.0,5,5,0,1,0,3,7,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
107,201971,DeJuan Blair,1610612764,WAS,27.0,29,218.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
108,201942,DeMar DeRozan,1610612761,TOR,26.0,78,2804.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
109,202326,DeMarcus Cousins,1610612758,SAC,25.0,65,2246.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
110,201960,DeMarre Carroll,1610612761,TOR,29.0,26,786.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
111,1626153,Delon Wright,1610612761,TOR,24.0,27,229.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
112,203471,Dennis Schroder,1610612737,ATL,22.0,80,1621.0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
113,101114,Deron Williams,1610612742,DAL,32.0,65,2106.0,2,1,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
114,202324,Derrick Favors,1610612762,UTA,24.0,62,1983.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
115,201565,Derrick Rose,1610612741,CHI,27.0,66,2097.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
116,202682,Derrick Williams,1610612752,NYK,25.0,80,1435.0,3,2,1,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
117,1626164,Devin Booker,1610612756,PHX,19.0,76,2108.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
118,2734,Devin Harris,1610612742,DAL,33.0,64,1280.0,8,6,2,3,2,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
119,203906,Devyn Marble,1610612753,ORL,23.0,28,249.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
120,203473,Dewayne Dedmon,1610612753,ORL,26.0,58,705.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
121,203079,Dion Waiters,1610612760,OKC,24.0,78,2152.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
122,1717,Dirk Nowitzki,1610612742,DAL,38.0,75,2364.0,20,14,6,5,0,6,13,0,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
123,202388,Donald Sloan,1610612751,BKN,28.0,61,1318.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
124,202700,Donatas Motiejunas,1610612745,HOU,25.0,37,547.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
125,203926,Doug McDermott,1610612741,CHI,24.0,81,1861.0,3,2,1,1,0,1,2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
126,203110,Draymond Green,1610612744,GSW,26.0,81,2808.0,23,16,7,8,0,3,8,0,0,2,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
127,2400,Drew Gooden,1610612764,WAS,34.0,30,305.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
128,1626251,Duje Dukan,1610612758,SAC,24.0,1,24.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
129,2730,Dwight Howard,1610612745,HOU,30.0,71,2280.0,4,3,1,11,0,5,12,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
130,203939,Dwight Powell,1610612742,DAL,24.0,69,992.0,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
131,2548,Dwyane Wade,1610612748,MIA,34.0,74,2258.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
132,202734,E'Twaun Moore,1610612741,CHI,27.0,59,1263.0,6,3,3,0,0,1,2,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
133,202334,Ed Davis,1610612757,POR,27.0,81,1684.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
134,204002,Edy Tavares,1610612737,ATL,24.0,11,73.0,12,12,0,0,0,2,4,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
135,203901,Elfrid Payton,1610612753,ORL,22.0,73,2145.0,4,3,1,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
136,202407,Elijah Millsap,1610612762,UTA,28.0,20,173.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
137,202343,Elliot Williams,1610612766,CHA,27.0,5,45.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
138,1882,Elton Brand,1610612755,PHI,37.0,17,225.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
139,1626144,Emmanuel Mudiay,1610612743,DEN,20.0,68,2068.0,6,4,2,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
140,202683,Enes Kanter,1610612760,OKC,24.0,82,1721.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
141,202339,Eric Bledsoe,1610612756,PHX,26.0,31,1059.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
142,201569,Eric Gordon,1610612740,NOP,27.0,45,1481.0,6,2,4,5,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
143,203961,Eric Moreland,1610612758,SAC,24.0,8,48.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
144,203475,Erick Green,1610612743,DEN,25.0,9,42.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
145,101141,Ersan Ilyasova,1610612753,ORL,29.0,74,1880.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
146,203095,Evan Fournier,1610612753,ORL,23.0,79,2566.0,4,2,2,4,0,0,0,0,0,3,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
147,202323,Evan Turner,1610612738,BOS,27.0,81,2271.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
148,203105,Festus Ezeli,1610612744,GSW,26.0,46,770.0,15,14,1,2,0,0,0,0,0,2,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
149,1626163,Frank Kaminsky,1610612766,CHA,23.0,81,1708.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
150,202066,Garrett Temple,1610612764,WAS,30.0,80,1951.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
151,203914,Gary Harris,1610612743,DEN,21.0,76,2439.0,6,5,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
152,202390,Gary Neal,1610612764,WAS,31.0,40,807.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
153,201588,George Hill,1610612754,IND,30.0,74,2524.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
154,101123,Gerald Green,1610612748,MIA,30.0,69,1557.0,4,3,1,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
155,201945,Gerald Henderson,1610612757,POR,28.0,72,1431.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
156,203507,Giannis Antetokounmpo,1610612749,MIL,21.0,80,2823.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
157,203922,Glenn Robinson III,1610612754,IND,22.0,45,508.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
158,201609,Goran Dragic,1610612748,MIA,30.0,72,2363.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
159,202330,Gordon Hayward,1610612762,UTA,26.0,80,2893.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
160,203476,Gorgui Dieng,1610612750,MIN,26.0,82,2220.0,8,7,1,2,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
161,202328,Greg Monroe,1610612749,MIL,26.0,79,2314.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
162,202962,Greg Smith,1610612750,MIN,25.0,18,192.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
